text,label
My neighbour attacked me and I hurt him while defending myself,legal
I entered my neighbour's house to take my phone back,legal
The police officer wants money but gave no challan,legal
My landlord changed the locks while I was away,legal
My employer has not paid my salary for three months,legal
Someone is threatening to share my photos,legal
The police refused to take my complaint,legal
My friend kept my passport and refuses to return it,legal
Someone hit me outside my home,legal
My tenant has stopped paying rent,legal
An online seller took my money and never delivered,legal
I was stopped at a traffic checkpoint and asked to sign a paper,legal
My former partner is sending abusive messages,legal
Someone used my identity documents to open an account,legal
My neighbour damaged my car,legal
My brother is stopping me from entering our family house,legal
I received a notice asking me to appear before an authority,legal
My employer fired me after I complained about harassment,legal
Someone posted false accusations about me online,legal
I was injured in a road accident,legal
The bank transfer was made by someone else from my account,legal
My contractor took an advance and abandoned the work,legal
My school is refusing to give my certificates,legal
The government office will not accept my application,legal
Someone is blackmailing me on WhatsApp,legal
I got into a fight and want to know what may happen,legal
My neighbour keeps entering my land,legal
The shop will not honour the warranty,legal
I was detained and my phone was taken,legal
My spouse has threatened to throw me out,legal
Explain Python decorators,non_legal
How do I cook pasta,non_legal
Who won yesterday's cricket match,non_legal
What will the weather be tomorrow,non_legal
Solve this quadratic equation,non_legal
Explain quantum mechanics simply,non_legal
Write a Java program for a calculator,non_legal
Recommend a good action movie,non_legal
How do I fix my WiFi router,non_legal
What is the capital of France,non_legal
Help me plan a holiday in Kerala,non_legal
How do I improve my chess rating,non_legal
Give me a vegetarian breakfast recipe,non_legal
Which laptop should I buy for gaming,non_legal
Explain photosynthesis for my exam,non_legal
How do I install Linux,non_legal
Tell me a joke about cats,non_legal
What is the latest football score,non_legal
How can I make a budget spreadsheet,non_legal
Teach me guitar chords,non_legal
I hit a man after he attacked me first,legal
I broke into a house to recover my belongings,legal
An officer asked for cash without an official challan,legal
Police seized my mobile and have not returned it,legal
My neighbour threatened to harm me,legal
My landlord locked me out of my rented flat,legal
My company has withheld my wages,legal
Someone refuses to give back my phone,legal
I need help after a fight with my neighbour,legal
Someone entered my home without permission,legal
I am being blackmailed over social media,legal
I was asked for an unofficial payment at a checkpoint,legal
How do Python decorators work,non_legal
Explain Java inheritance,non_legal
How can I make spaghetti,non_legal
Who won the football game,non_legal
Teach me about black holes,non_legal
What should I pack for a holiday,non_legal
How do I solve a matrix equation,non_legal
My laptop battery is draining quickly,non_legal
Suggest a multiplayer game,non_legal
How do I clean a coffee machine,non_legal
What movie should I watch tonight,non_legal
